@relation events

@attribute EventType {Conference,Wedding,Workshop,Party}
@attribute EventName string
@attribute Location string
@attribute Date numeric
@attribute Description string

@data
Workshop,'Adaptive asynchronous strategy',Cardiff,20250903,'Cybersecurity hands-on'
Workshop,'Centralized discrete architecture',Edinburgh,20251218,'Data science workshop'
Party,'Automated full-range archive',Birmingham,20250719,'Graduation celebration'
Party,'Front-line even-keeled secured line',Edinburgh,20250708,'Graduation celebration'
Workshop,'Extended needs-based capacity',Leeds,20251008,'Cybersecurity hands-on'
Workshop,'Re-engineered object-oriented leverage',Coventry,20250405,'Cybersecurity hands-on'
Wedding,'Phased incremental core',Edinburgh,20250206,'Family gathering wedding'
Wedding,'Cross-platform stable Internet solution',Manchester,20250518,'Family gathering wedding'
Workshop,'Optimized incremental Local Area Network',Manchester,20251202,'Python basics training'
Workshop,'Upgradable actuating service-desk',Leeds,20250911,'Python basics training'
Conference,'Stand-alone bandwidth-monitored approach',London,20250606,'Cloud Tech meetup'
Conference,'Upgradable global website',Coventry,20251201,'Healthcare trends forum'
Wedding,'Customer-focused dynamic core',Cardiff,20250315,'Traditional wedding celebration'
Wedding,'Public-key local challenge',London,20250613,'Traditional wedding celebration'
Party,'Enterprise-wide even-keeled Local Area Network',Leeds,20250408,'Birthday bash with DJ'
Party,'Compatible leadingedge workforce',London,20251201,'New Year party'
Party,'Reactive bandwidth-monitored application',Birmingham,20250911,'Birthday bash with DJ'
Workshop,'Quality-focused 24/7 array',Coventry,20251226,'Cybersecurity hands-on'
Party,'Versatile disintermediate concept',Edinburgh,20250607,'New Year party'
Party,'Pre-emptive mission-critical data-warehouse',Coventry,20251202,'New Year party'
Workshop,'Open-architected analyzing concept',Edinburgh,20250528,'Python basics training'
Workshop,'Adaptive human-resource firmware',Coventry,20251226,'Data science workshop'
Wedding,'Persevering executive interface',Glasgow,20250928,'Family gathering wedding'
Conference,'Upgradable zero tolerance open architecture',Birmingham,20250915,'Cloud Tech meetup'
Wedding,'Universal mobile collaboration',Leeds,20250315,'Beachside wedding event'
Workshop,'Implemented didactic approach',Edinburgh,20250813,'Python basics training'
Wedding,'User-centric needs-based approach',Cardiff,20251018,'Family gathering wedding'
Conference,'Intuitive analyzing application',Cardiff,20250815,'Cloud Tech meetup'
Workshop,'Polarized motivating moderator',Cardiff,20250303,'Data science workshop'
Wedding,'Centralized multimedia artificial intelligence',Coventry,20251127,'Beachside wedding event'
Party,'Enterprise-wide asymmetric policy',London,20250127,'Birthday bash with DJ'
Party,'Synergistic disintermediate initiative',Birmingham,20250216,'New Year party'
Conference,'Re-contextualized dynamic paradigm',Cardiff,20250819,'Healthcare trends forum'
Conference,'Balanced regional artificial intelligence',Manchester,20250612,'AI conference on automation'
Party,'Switchable optimal open system',Birmingham,20250723,'Graduation celebration'
Workshop,'Intuitive empowering database',Leeds,20250918,'Data science workshop'
Party,'Universal foreground encoding',Glasgow,20250414,'Graduation celebration'
Workshop,'Object-based clear-thinking secured line',Manchester,20250908,'Cybersecurity hands-on'
Conference,'Innovative logistical functionalities',Liverpool,20251227,'AI conference on automation'
Conference,'Versatile asynchronous access',London,20250627,'Traditional wedding celebration'
Wedding,'Secured non-volatile attitude',Leeds,20250129,'Family gathering wedding'
Conference,'Public-key didactic middleware',Leeds,20250413,'Cloud Tech meetup'
Workshop,'De-engineered grid-enabled architecture',Birmingham,20251208,'Cybersecurity hands-on'
Conference,'Fully-configurable holistic forecast',Birmingham,20250303,'Family gathering wedding'
